rank,person_name,rankings_school,score_blended_50_50,score_papers_norm,score_citations_norm,paper_count_frac_authors,citation_frac_authors_openalex,unique_om_or_papers
941,Elliot Rabinovich,Arizona State (Carey),0.006932,0.008469,0.005396,0.2500,2.2500,1
941,Jack B. Soll,Duke (Fuqua),0.006932,0.008469,0.005396,0.2500,2.2500,1
941,Joshua Klayman,Chicago (Booth),0.006932,0.008469,0.005396,0.2500,2.2500,1
941,Rui Sun,UW (Foster),0.006932,0.008469,0.005396,0.2500,2.2500,1
941,Sanghak Lee,Arizona State (Carey),0.006932,0.008469,0.005396,0.2500,2.2500,1
941,Stanley Frederick W. T. Lim,Michigan State (Broad),0.006932,0.008469,0.005396,0.2500,2.2500,1
948,Angelos Tsoukalas,SMU (Cox),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Artem Timoshenko,Northwestern (Kellogg),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Arthur Delarue,Georgia Tech (Scheller),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Ayoub Amil,Duke (Fuqua),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Christoph Schiller,Arizona State (Carey),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Duncan Simester,MIT,0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Ido Bright,UW (Foster),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Jess Cornaggia,Penn State (Smeal),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Kimberly Cornaggia,Penn State (Smeal),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Mehmet I. Canayaz,Penn State (Smeal),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Michael Hertzel,Arizona State (Carey),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Pengyu Qian,Boston U (Questrom),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Raoul Minetti,Michigan State (Broad),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Susan Chun Zhu,Michigan State (Broad),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Tarun Kushwaha,Wisconsin-Madison,0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Vanitha Virudachalam,UIUC (Gies),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Yaqi Xie,Chicago (Booth),0.006750,0.012701,0.000799,0.3333,0.3333,1
948,Yuval Rottenstreich,UC San Diego (Rady),0.006750,0.012701,0.000799,0.3333,0.3333,1
966,Alexander Wei,UC Berkeley (Haas),0.006633,0.008469,0.004796,0.2500,2.0000,1
966,Douglas R. Bish,USC (Marshall),0.006633,0.008469,0.004796,0.2500,2.0000,1
966,Ebru K. Bish,USC (Marshall),0.006633,0.008469,0.004796,0.2500,2.0000,1
969,Alberto Quaini,SMU (Cox),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Andrey Fradkin,Boston U (Questrom),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Anqi Wu,Florida (Warrington),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Anton Kleywegt,Georgia Tech (Scheller),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Arthur Delarue,Virginia (Darden),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Catherine H. Tinsley,UW (Foster),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Christopher F. Chabris,Wharton (UPenn),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Craig Fernandes,Toronto (Rotman),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Danial Mohseni-Taheri,UIUC (Gies),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Danna Thomas,Columbia,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,David D. Yao,Columbia,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Felipe A. Araujo,Wharton (UPenn),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Irene Y. Lo,Stanford,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Jiayue Wan,Cornell,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Joann F. de Zegher,MIT,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,John J. Horton,MIT,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Joonho Bae,Indiana (Kelley),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Lindsey Woodworth,Columbia,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Michael Jong Kim,UBC (Sauder),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Michelle N. Meyer,Wharton (UPenn),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Orgül Öztürk,Columbia,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Peter I. Frazier,Cornell,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Richard Gonzalez,Michigan (Ross),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Sebastien Martin,Northwestern (Kellogg),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Siva Theja Maguluri,Georgia Tech (Scheller),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Sofonias Alemu Korsaye,Johns Hopkins (Carey),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Sridhar Seshadri,UIUC (Gies),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Sushil Mahavir Varma,Georgia Tech (Scheller),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Tami Kim,Harvard,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Timothy C.Y. Chan,Toronto (Rotman),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Uttara M. Ananthakrishnan,UW (Foster),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Vibhuti Dhingra,Toronto (Rotman),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Vineet Kumar,Yale,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Woonghee Tim Huh,UBC (Sauder),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Xue Wang,UW (Foster),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Xuejun Zhao,UNC (Kenan-Flagler),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Yeqing Zhou,SMU (Cox),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Yu (Rain) Kan,Indiana (Kelley),0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Yuan Shi,MIT,0.006351,0.012701,0.000000,0.3333,0.0000,1
969,Yujia Zhang,Cornell,0.006351,0.012701,0.000000,0.3333,0.0000,1
1009,Anita Cattrell,Virginia (Darden),0.006082,0.005929,0.006235,0.2000,2.6000,1
1009,Katherine Bobroske,Virginia (Darden),0.006082,0.005929,0.006235,0.2000,2.6000,1
1011,Anicet A. Fangwa,McGill (Desautels),0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Caroline Flammer,Columbia,0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Ding Zhao,Carnegie Mellon (Tepper),0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Hemeng Li,Cornell,0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Pieter L. van den Berg,SMU (Cox),0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Rowan P. Clarke,Harvard,0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Ruoxuan Xiong,Emory (Goizueta),0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Shane G. Henderson,Cornell,0.006033,0.008469,0.003597,0.2500,1.5000,1
1011,Yuanlu Bai,Columbia,0.006033,0.008469,0.003597,0.2500,1.5000,1
1020,Anne Canamucio,UW (Foster),0.005842,0.005929,0.005755,0.2000,2.4000,1
1020,Humoud Alsabah,Columbia,0.005842,0.005929,0.005755,0.2000,2.4000,1
1020,Rachel M. Werner,Wharton (UPenn),0.005842,0.005929,0.005755,0.2000,2.4000,1
1020,Steven C. Marcus,Wharton (UPenn),0.005842,0.005929,0.005755,0.2000,2.4000,1
1024,John R. Busenbark,Notre Dame (Mendoza),0.005733,0.008469,0.002998,0.2500,1.2500,1
1024,Kaitlin D. Wowak,Notre Dame (Mendoza),0.005733,0.008469,0.002998,0.2500,1.2500,1
1024,Karthik V. Natarajan,Minnesota (Carlson),0.005733,0.008469,0.002998,0.2500,1.2500,1
1027,Jordan D. Tong,Wisconsin-Madison,0.005706,0.002119,0.009293,0.1250,3.8750,1
1027,Samantha Keppler,Michigan (Ross),0.005706,0.002119,0.009293,0.1250,3.8750,1
1029,Billy Jin,Cornell,0.005516,0.004237,0.006794,0.1667,2.8333,1
1029,David P. Williamson,Cornell,0.005516,0.004237,0.006794,0.1667,2.8333,1
1031,Debmalya Panigrahi,Duke (Fuqua),0.005454,0.003028,0.007879,0.1429,3.2857,1
1031,Vincent Conitzer,Duke (Fuqua),0.005454,0.003028,0.007879,0.1429,3.2857,1
1033,Parshan Pakiman,UIUC (Gies),0.005434,0.008469,0.002398,0.2500,1.0000,1
1033,Shelly Rathee,Wharton (UPenn),0.005434,0.008469,0.002398,0.2500,1.0000,1
1035,Fransisca Susan,MIT,0.005363,0.005929,0.004796,0.2000,2.0000,1
1036,Fuqiang Zhang,WashU (Olin),0.005134,0.008469,0.001799,0.2500,0.7500,1
1037,Andrea Lodi,Cornell,0.005123,0.005929,0.004317,0.2000,1.8000,1
1037,Andrew Daw,USC (Marshall),0.005123,0.005929,0.004317,0.2000,1.8000,1
1037,Antonio Castellanos,Chicago (Booth),0.005123,0.005929,0.004317,0.2000,1.8000,1
1037,Jamol Pender,Cornell,0.005123,0.005929,0.004317,0.2000,1.8000,1
1041,Joseph Newhouse,Harvard,0.004883,0.005929,0.003837,0.2000,1.6000,1
1041,Mary Beth Landrum,Harvard,0.004883,0.005929,0.003837,0.2000,1.6000,1
1043,Abhay Parekh,UC Berkeley (Haas),0.004643,0.005929,0.003357,0.2000,1.4000,1
1043,David Marn,UC Berkeley (Haas),0.004643,0.005929,0.003357,0.2000,1.4000,1
1043,Kannan Ramchandran,UC Berkeley (Haas),0.004643,0.005929,0.003357,0.2000,1.4000,1
1043,Nihar Shah,Carnegie Mellon (Tepper),0.004643,0.005929,0.003357,0.2000,1.4000,1
1047,Aaron Babier,Toronto (Rotman),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Adam Diamant,Toronto (Rotman),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Akshaya Suresh,Virginia (Darden),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Alexandra Chouldechova,Carnegie Mellon (Tepper),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Amine Bennouna,MIT,0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Artur Dubrawski,Carnegie Mellon (Tepper),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Ashvin Gandhi,UCLA (Anderson),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Daniel Wiesen,SMU (Cox),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Donghao Ying,UC Berkeley (Haas),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Elisa F. Long,UCLA (Anderson),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Javad Lavaei,UC Berkeley (Haas),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Jingyuan Hu,UCLA (Anderson),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Jue Wang,Cornell,0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Long He,UW (Foster),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Mengzi Amy Guo,UC Berkeley (Haas),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Omar Skali Lami,MIT,0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Roozbeh Yousefi,MIT,0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Vincent Jeanselme,UNC (Kenan-Flagler),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Volodymyr Babich,UW (Foster),0.004534,0.008469,0.000600,0.2500,0.2500,1
1047,Xueze Song,USC (Marshall),0.004534,0.008469,0.000600,0.2500,0.2500,1
1067,Aldo Carranza,Stanford,0.004303,0.001412,0.007194,0.1111,3.0000,1
1068,Andrew Li,Carnegie Mellon (Tepper),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Ayelet Gneezy,UC San Diego (Rady),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Brian Rongqing Han,UIUC (Gies),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Fan Zou,Penn State (Smeal),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Haiyan Liu,Florida (Warrington),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Hannah Li,Stanford,0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Khaled Saleh,Michigan (Ross),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Kyra Gan,Cornell,0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Leif D. Nelson,UC Berkeley (Haas),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,M. Bumin Yenmez,Boston College (Carroll),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,M. Utku Ünver,Boston College (Carroll),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Minah H. Jung,NYU (Stern),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Parag A. Pathak,MIT,0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Ramesh Johari,Stanford,0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Sriram Venkataraman,Columbia,0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Su Jia,Cornell,0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Tayfun Sönmez,Boston College (Carroll),0.004235,0.008469,0.000000,0.2500,0.0000,1
1068,Yan Dong,Columbia,0.004235,0.008469,0.000000,0.2500,0.0000,1
1086,Cong Shi,Florida (Warrington),0.004163,0.005929,0.002398,0.2000,1.0000,1
1086,Edward McFowland,Harvard,0.004163,0.005929,0.002398,0.2000,1.0000,1
1086,Esmaeil Keyvanshokooh,Texas A&M (Mays),0.004163,0.005929,0.002398,0.2000,1.0000,1
1086,Jui Ramaprasad,Maryland (Smith),0.004163,0.005929,0.002398,0.2000,1.0000,1
1086,Mark P. Van Oyen,Michigan (Ross),0.004163,0.005929,0.002398,0.2000,1.0000,1
1086,Mohammad Zhalechian,Indiana (Kelley),0.004163,0.005929,0.002398,0.2000,1.0000,1
1092,Gui Liberali,SMU (Cox),0.003924,0.005929,0.001918,0.2000,0.8000,1
1092,Kaiqing Zhang,Maryland (Smith),0.003924,0.005929,0.001918,0.2000,0.8000,1
1092,Tamer Başar,UIUC (Gies),0.003924,0.005929,0.001918,0.2000,0.8000,1
1092,Weichao Mao,UIUC (Gies),0.003924,0.005929,0.001918,0.2000,0.8000,1
1096,Gregory M. Fischer,UC Berkeley (Haas),0.003542,0.000848,0.006235,0.1000,2.6000,1
1096,James Chu,Columbia,0.003542,0.000848,0.006235,0.1000,2.6000,1
1096,Joshua Cohen,Stanford,0.003542,0.000848,0.006235,0.1000,2.6000,1
1096,Prashant Loyalka,Columbia,0.003542,0.000848,0.006235,0.1000,2.6000,1
1100,René Caldentey,Chicago (Booth),0.003318,0.004237,0.002398,0.1667,1.0000,1
1100,Yuan Zhong,Chicago (Booth),0.003318,0.004237,0.002398,0.1667,1.0000,1
1102,Houssam Nassif,UW (Foster),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Joseph Hong,UW (Foster),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Michael Honig,Northwestern (Kellogg),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Rakesh Vohra,Wharton (UPenn),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Sareh Nabi,UW (Foster),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Thành Nguyen,Purdue (Daniels),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Vijay Subramanian,Michigan (Ross),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Zhengling Qi,UW (Foster),0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Zhuoran Yang,Yale,0.003204,0.005929,0.000480,0.2000,0.2000,1
1102,Zuyue Fu,Northwestern (Kellogg),0.003204,0.005929,0.000480,0.2000,0.2000,1
1112,C. B. Bhattacharya,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Chaojie Ji,UBC (Sauder),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Chu Wang,UW (Foster),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Damian Beil,Michigan (Ross),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Daniel Houser,Virginia (Darden),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Deena Kelly Costa,Yale,0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Evan Gilbertson,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Guangyu Zhang,UW (Foster),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Jiawei Li,UW (Foster),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Jiayang Ren,UBC (Sauder),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Kaixun Hua,UBC (Sauder),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,León Valdés,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Lisa M. Maillart,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Mark S. Roberts,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Michael Sjoding,Michigan (Ross),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Oleg A. Prokopyev,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Oliver Hahl,Carnegie Mellon (Tepper),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Renfei Tan,MIT,0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Samir F. Saba,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Trevor Young-Hyman,Wharton (UPenn),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Yankai Cao,UBC (Sauder),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Yuhang Wu,UC Berkeley (Haas),0.002964,0.005929,0.000000,0.2000,0.0000,1
1112,Zuohua Zhang,UW (Foster),0.002964,0.005929,0.000000,0.2000,0.0000,1
1135,Jan Willem Lindemans,Duke (Fuqua),0.002718,0.004237,0.001199,0.1667,0.5000,1
1135,Jonathan N. Cloughesy,USC (Marshall),0.002718,0.004237,0.001199,0.1667,0.5000,1
1135,Nina Bartmann,Duke (Fuqua),0.002718,0.004237,0.001199,0.1667,0.5000,1
1138,Claire Holloway,Toronto (Rotman),0.002713,0.003028,0.002398,0.1429,1.0000,1
1138,Katharina Forster,Toronto (Rotman),0.002713,0.003028,0.002398,0.1429,1.0000,1
1138,Luciano Ieraci,Toronto (Rotman),0.002713,0.003028,0.002398,0.1429,1.0000,1
1138,Nasrin Yousefi,Toronto (Rotman),0.002713,0.003028,0.002398,0.1429,1.0000,1
1138,Yusuf Shalaby,Toronto (Rotman),0.002713,0.003028,0.002398,0.1429,1.0000,1
1143,Alisa Judy-Malcolm,Indiana (Kelley),0.002558,0.002119,0.002998,0.1250,1.2500,1
1143,Areeba Kara,Indiana (Kelley),0.002558,0.002119,0.002998,0.1250,1.2500,1
1143,Edwin C. Coe,UW (Foster),0.002558,0.002119,0.002998,0.1250,1.2500,1
1143,Jonathan E. Helm,Indiana (Kelley),0.002558,0.002119,0.002998,0.1250,1.2500,1
1143,Kurt M. Bretthauer,Indiana (Kelley),0.002558,0.002119,0.002998,0.1250,1.2500,1
1148,Andrew Caplin,NYU (Stern),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Angela L. Duckworth,Wharton (UPenn),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Ben Weidmann,Harvard,0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,David Deming,Harvard,0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Dean Karlan,Northwestern (Kellogg),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Erika L. Kirgios,Chicago (Booth),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Kadachi Jiada Ye,NYU (Stern),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Michael Luca,Johns Hopkins (Carey),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Molly Offer-Westort,Chicago (Booth),0.001514,0.003028,0.000000,0.1429,0.0000,1
1148,Shangwen Li,NYU (Stern),0.001514,0.003028,0.000000,0.1429,0.0000,1
1158,Carey E. Priebe,Johns Hopkins (Carey),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Christopher White,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Emily Cox Pahnke,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Fereshteh Amini,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Jeffrey Weston,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Jonathan Larson,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Joshua Vogelstein,Johns Hopkins (Carey),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Neha Parikh Shah,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Nicholas Caurvina,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Patrick Bourke,UW (Foster),0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Tiona Zuzul,Harvard,0.001399,0.000000,0.002798,0.0833,1.1667,1
1158,Youngser Park,Johns Hopkins (Carey),0.001399,0.000000,0.002798,0.0833,1.1667,1
1170,Andreea Georgescu,MIT,0.001059,0.002119,0.000000,0.1250,0.0000,1
1170,Andrew T. Zheng,UBC (Sauder),0.001059,0.002119,0.000000,0.1250,0.0000,1
1170,Jingchen Wu,UW (Foster),0.001059,0.002119,0.000000,0.1250,0.0000,1
1170,Joshua T. Wilde,MIT,0.001059,0.002119,0.000000,0.1250,0.0000,1
1170,Omar Mouchtaki,NYU (Stern),0.001059,0.002119,0.000000,0.1250,0.0000,1
1170,Salal Humair,UW (Foster),0.001059,0.002119,0.000000,0.1250,0.0000,1
1170,Tianyi Peng,Columbia,0.001059,0.002119,0.000000,0.1250,0.0000,1
