rank,person_name,rankings_school,paper_count_full,paper_count_frac_authors,citation_frac_authors_openalex,unique_om_or_papers,first_year,last_year
294,Qihang Lin,Iowa (Tippie),2,0.5833,8.3333,2,2020,2025
296,Saurabh Bansal,Penn State (Smeal),2,0.5833,4.3333,2,2022,2024
297,Ali Aouad,MIT,2,0.5833,3.0833,2,2025,2025
298,Vineet Goyal,Columbia,3,0.5417,35.0833,3,2020,2026
299,Mika Sumida,Cornell,2,0.5333,53.1333,2,2020,2021
300,Daniel Granot,UBC (Sauder),2,0.5333,37.1333,2,2021,2021
300,Frieda Granot,UBC (Sauder),2,0.5333,37.1333,2,2021,2021
302,Pengyi Shi,Purdue (Daniels),2,0.5333,36.2000,2,2016,2025
303,Mehmet Gümüş,McGill (Desautels),2,0.5333,12.2667,2,2016,2022
304,Christopher Tang,UCLA (Anderson),2,0.5333,4.4667,2,2025,2025
305,Lan Wang,Florida (Warrington),2,0.5333,1.5333,2,2025,2026
306,Chonghuan Wang,UT Dallas,2,0.5333,0.0000,2,2025,2025
306,John Silberholz,Maryland (Smith),2,0.5333,0.0000,2,2025,2025
308,Siva Viswanathan,Maryland (Smith),1,0.5000,304.5000,1,2016,2016
309,John Gunnar Carlsson,USC (Marshall),1,0.5000,195.0000,1,2018,2018
309,Siyuan Song,USC (Marshall),1,0.5000,195.0000,1,2018,2018
311,Tunay I. Tunca,Maryland (Smith),1,0.5000,136.0000,1,2018,2018
312,Ioannis Bellos,Virginia (Darden),1,0.5000,108.5000,1,2017,2017
313,Jillian A. Berry Jaeker,Boston U (Questrom),1,0.5000,106.0000,1,2017,2017
314,Marios Kokkodis,NYU (Stern),1,0.5000,79.5000,1,2016,2016
314,Panagiotis G. Ipeirotis,NYU (Stern),1,0.5000,79.5000,1,2016,2016
316,Lingxiu Dong,WashU (Olin),2,0.5000,75.5000,2,2019,2023
317,Gilvan C. Souza,Indiana (Kelley),1,0.5000,73.0000,1,2022,2022
318,Chris Parker,UW (Foster),1,0.5000,63.0000,1,2021,2021
318,Jorge Mejia,Indiana (Kelley),1,0.5000,63.0000,1,2021,2021
320,Jessica A. Wachter,Wharton (UPenn),1,0.5000,55.0000,1,2019,2019
321,Brett Hemenway Falk,Wharton (UPenn),1,0.5000,52.5000,1,2020,2020
322,David A. Goldberg,Georgia Tech (Scheller),1,0.5000,49.5000,1,2018,2018
322,Linwei Xin,UIUC (Gies),1,0.5000,49.5000,1,2018,2018
324,Philipp Afèche,Toronto (Rotman),1,0.5000,49.0000,1,2016,2016
325,Daria Dzyabura,NYU (Stern),1,0.5000,48.5000,1,2018,2018
326,Fei Gao,Wharton (UPenn),1,0.5000,47.5000,1,2017,2017
327,Huanan Zhang,Penn State (Smeal),2,0.5000,45.3333,2,2018,2020
328,Pornpawee Bumpensanti,Georgia Tech (Scheller),1,0.5000,44.0000,1,2020,2020
329,Maria R. Ibanez,Northwestern (Kellogg),1,0.5000,39.0000,1,2020,2020
329,Michael W. Toffel,Harvard,1,0.5000,39.0000,1,2020,2020
331,James E. Smith,Dartmouth (Tuck),1,0.5000,35.0000,1,2020,2020
332,Itai Ashlagi,MIT,1,0.5000,33.0000,1,2016,2016
332,James R. Luedtke,Wisconsin-Madison,1,0.5000,33.0000,1,2017,2017
332,Merve Bodur,Toronto (Rotman),1,0.5000,33.0000,1,2017,2017
332,Peng Shi,MIT,1,0.5000,33.0000,1,2016,2016
336,Ali K. Parlaktürk,UNC (Kenan-Flagler),1,0.5000,32.0000,1,2019,2019
336,Andrew A. Li,MIT,1,0.5000,32.0000,1,2019,2019
336,Mustafa O. Kabul,UNC (Kenan-Flagler),1,0.5000,32.0000,1,2019,2019
339,Özlem Ergun,Northeastern,2,0.5000,31.7500,2,2016,2018
340,Tallys Yunes,Florida (Warrington),1,0.5000,28.5000,1,2020,2020
341,Bryan K. Bollinger,NYU (Stern),1,0.5000,27.5000,1,2020,2020
341,Wesley R. Hartmann,Stanford,1,0.5000,27.5000,1,2020,2020
343,Daniel Andrei,McGill (Desautels),1,0.5000,27.0000,1,2020,2020
343,Michael Hasler,UT Dallas,1,0.5000,27.0000,1,2020,2020
343,Ramandeep Singh Randhawa,USC (Marshall),1,0.5000,27.0000,1,2016,2016
343,Ruomeng Cui,Indiana (Kelley),1,0.5000,27.0000,1,2018,2018
347,Jayashankar M. Swaminathan,UNC (Kenan-Flagler),1,0.5000,26.0000,1,2021,2021
348,Michael Jong Kim,Toronto (Rotman),1,0.5000,25.5000,1,2016,2016
349,Alvin E. Roth,Stanford,1,0.5000,24.5000,1,2021,2021
349,Nora Szech,UNC (Kenan-Flagler),1,0.5000,24.5000,1,2018,2018
351,Vijay Mookerjee,UT Dallas,2,0.5000,23.2500,2,2016,2018
352,Yi-Chun Chen,UCLA (Anderson),1,0.5000,23.0000,1,2022,2022
353,Justin Sirignano,UIUC (Gies),1,0.5000,22.0000,1,2019,2019
353,Vibhuti Dhingra,UBC (Sauder),1,0.5000,22.0000,1,2021,2021
355,Anton Ovchinnikov,MIT,1,0.5000,21.0000,1,2019,2019
355,Michael Ketzenberg,Texas A&M (Mays),1,0.5000,21.0000,1,2022,2022
355,Silvia Bellezza,Columbia,1,0.5000,21.0000,1,2017,2017
355,Xin Wang,Carnegie Mellon (Tepper),1,0.5000,21.0000,1,2017,2017
359,Feng Tian,Michigan (Ross),1,0.5000,20.0000,1,2018,2018
360,Cong Shi,Michigan (Ross),2,0.5000,19.3333,2,2018,2021
361,Edieal Pinker,Yale,1,0.5000,18.5000,1,2019,2019
361,Mariya Bondareva,Chicago (Booth),1,0.5000,18.5000,1,2019,2019
363,Garrett van Ryzin,Cornell,1,0.5000,17.0000,1,2021,2021
363,Zhen Lian,Cornell,1,0.5000,17.0000,1,2021,2021
365,Gad Allon,Wharton (UPenn),2,0.5000,16.8333,2,2021,2022
366,Jonathan Glover,Columbia,1,0.5000,16.5000,1,2021,2021
366,Koray Cosguner,Indiana (Kelley),1,0.5000,16.5000,1,2022,2022
366,Paul Grigas,UC Berkeley (Haas),1,0.5000,16.5000,1,2022,2022
369,Angela Zhou,Cornell,1,0.5000,16.0000,1,2021,2021
370,Lauren Xiaoyuan Lu,UNC (Kenan-Flagler),1,0.5000,15.5000,1,2017,2017
370,Şafak Yücel,UW (Foster),1,0.5000,15.5000,1,2022,2022
372,Andrew F. Siegel,UW (Foster),1,0.5000,14.0000,1,2021,2021
372,Kris Johnson Ferreira,Harvard,1,0.5000,14.0000,1,2021,2021
374,Andres F. Jola-Sanchez,Texas A&M (Mays),1,0.5000,13.5000,1,2021,2021
375,Candace Cravey,Virginia (Darden),1,0.5000,13.0000,1,2022,2022
375,Dmitri Kuksov,UT Dallas,1,0.5000,13.0000,1,2017,2017
375,Fatma Kılınç-Karzan,Carnegie Mellon (Tepper),1,0.5000,13.0000,1,2022,2022
375,Tim Eisert,SMU (Cox),1,0.5000,13.0000,1,2019,2019
379,Ali Hajjar,Harvard,1,0.5000,12.5000,1,2023,2023
379,Gary E. Bolton,UT Dallas,1,0.5000,12.5000,1,2018,2018
379,Gregor Matvos,Chicago (Booth),1,0.5000,12.5000,1,2016,2016
379,Oguzhan Alagoz,Wisconsin-Madison,1,0.5000,12.5000,1,2023,2023
379,Zhiguo He,Chicago (Booth),1,0.5000,12.5000,1,2016,2016
384,Anh Le,Penn State (Smeal),1,0.5000,12.0000,1,2021,2021
384,Ilya O. Ryzhov,Maryland (Smith),1,0.5000,12.0000,1,2023,2023
384,Scott Joslin,USC (Marshall),1,0.5000,12.0000,1,2021,2021
384,Ye Chen,Virginia (Darden),1,0.5000,12.0000,1,2023,2023
388,Amine Allouah,Columbia,1,0.5000,11.0000,1,2020,2020
388,Francois Margot,Carnegie Mellon (Tepper),1,0.5000,11.0000,1,2018,2018
390,Morvarid Rahmani,Georgia Tech (Scheller),1,0.5000,10.5000,1,2021,2021
390,Terry A. Taylor,UC Berkeley (Haas),1,0.5000,10.5000,1,2019,2019
392,K. Drakopoulos,USC (Marshall),1,0.5000,10.0000,1,2021,2021
392,Nikhil Garg,Cornell,1,0.5000,10.0000,1,2022,2022
392,R. S. Randhawa,USC (Marshall),1,0.5000,10.0000,1,2021,2021
395,Christos Tzamos,Wisconsin-Madison,1,0.5000,9.5000,1,2019,2019
395,Seokwoo Lee,Michigan (Ross),1,0.5000,9.5000,1,2021,2021
397,Mariana Khapko,Toronto (Rotman),1,0.5000,9.0000,1,2020,2020
397,Marius Zoican,Toronto (Rotman),1,0.5000,9.0000,1,2020,2020
399,Oliver Levine,Wisconsin-Madison,1,0.5000,8.5000,1,2021,2021
399,Weihua Zhang,UBC (Sauder),1,0.5000,8.5000,1,2023,2023
401,Lauren Xiaoyuan Lu,Dartmouth (Tuck),1,0.5000,7.5000,1,2022,2022
401,Raghav Singal,Columbia,1,0.5000,7.5000,1,2021,2021
403,Luca Maini,Harvard,1,0.5000,7.0000,1,2024,2024
404,Xiao-Yue Gong,Carnegie Mellon (Tepper),1,0.5000,6.5000,1,2023,2023
405,Andreea Minca,Cornell,1,0.5000,6.0000,1,2020,2020
405,Ariah Klages-Mundt,Cornell,1,0.5000,6.0000,1,2020,2020
405,Zhimei Ren,Wharton (UPenn),1,0.5000,6.0000,1,2024,2024
408,Anita L. Carson,Boston U (Questrom),2,0.5000,5.5000,2,2023,2024
408,Raymond Kan,Toronto (Rotman),1,0.5000,5.5000,1,2016,2016
410,Benjamin Bushong,Michigan State (Broad),1,0.5000,5.0000,1,2024,2024
410,Jad Salem,Maryland (Smith),1,0.5000,5.0000,1,2024,2024
410,Swati Gupta,MIT,1,0.5000,5.0000,1,2024,2024
410,Tristan Gagnon-Bartsch,Florida (Warrington),1,0.5000,5.0000,1,2024,2024
414,Daniel Freund,MIT,1,0.5000,4.5000,1,2025,2025
414,Dawson Kaaua,UW (Foster),1,0.5000,4.5000,1,2022,2022
414,Siddhartha Banerjee,Cornell,1,0.5000,4.5000,1,2025,2025
414,Youngsoo Kim,USC (Marshall),1,0.5000,4.5000,1,2024,2024
414,Yuqian Xu,UNC (Kenan-Flagler),1,0.5000,4.5000,1,2024,2024
419,Andrei Hagiu,Boston U (Questrom),1,0.5000,4.0000,1,2024,2024
419,Brent B. Moritz,Penn State (Smeal),1,0.5000,4.0000,1,2020,2020
419,Pengyu Qian,Purdue (Daniels),1,0.5000,4.0000,1,2024,2024
419,Yunzong Xu,UIUC (Gies),1,0.5000,4.0000,1,2023,2023
423,David Klinowski,Wharton (UPenn),1,0.5000,3.5000,1,2025,2025
423,Katherine Coffman,Harvard,1,0.5000,3.5000,1,2025,2025
423,Stefan Reichelstein,Stanford,1,0.5000,3.5000,1,2021,2021
423,Sunil Dutta,UC Berkeley (Haas),1,0.5000,3.5000,1,2021,2021
427,Amir Ardestani-Jaafari,UBC (Sauder),1,0.5000,3.0000,1,2022,2022
427,Beste Kucukyazici,Michigan State (Broad),1,0.5000,3.0000,1,2022,2022
427,Chen Wei,WashU (Olin),1,0.5000,3.0000,1,2024,2024
427,Xu Kuang,Stanford,1,0.5000,3.0000,1,2024,2024
427,Yu An,Johns Hopkins (Carey),1,0.5000,3.0000,1,2023,2023
432,Yicheng Bai,Cornell,2,0.5000,2.8333,2,2023,2025
433,Cagin Uru,Duke (Fuqua),1,0.5000,2.5000,1,2024,2024
433,Yuchong Zhang,Toronto (Rotman),1,0.5000,2.5000,1,2024,2024
435,Dor Morag,Wharton (UPenn),1,0.5000,2.0000,1,2025,2025
435,Hanna Halaburda,NYU (Stern),1,0.5000,2.0000,1,2024,2024
435,Jabari Myles,UNC (Kenan-Flagler),1,0.5000,2.0000,1,2025,2025
435,Jacob Zureich,Wharton (UPenn),1,0.5000,2.0000,1,2025,2025
435,Joshua S. Gans,Toronto (Rotman),1,0.5000,2.0000,1,2024,2024
435,Kan Xu,Arizona State (Carey),1,0.5000,2.0000,1,2025,2025
435,Manasvini Singh,Carnegie Mellon (Tepper),1,0.5000,2.0000,1,2025,2025
435,Thomas Lloyd,Michigan (Ross),1,0.5000,2.0000,1,2024,2024
443,Bart Van Parys,MIT,1,0.5000,1.5000,1,2024,2024
443,Jorge Lemus,UIUC (Gies),1,0.5000,1.5000,1,2023,2023
443,Kuang Xu,Stanford,1,0.5000,1.5000,1,2021,2021
443,Samim Ghamami,UC Berkeley (Haas),1,0.5000,1.5000,1,2019,2019
443,Yiding Feng,Chicago (Booth),1,0.5000,1.5000,1,2025,2025
443,Zijie Zhou,MIT,1,0.5000,1.5000,1,2025,2025
449,Linwei Xin,Chicago (Booth),2,0.5000,1.3333,2,2024,2025
450,Aydın Alptekinoğlu,Penn State (Smeal),1,0.5000,1.0000,1,2026,2026
450,Chonghuan Wang,MIT,1,0.5000,1.0000,1,2025,2025
450,Eojin Han,Notre Dame (Mendoza),1,0.5000,1.0000,1,2025,2025
450,Joowon Klusowski,Yale,1,0.5000,1.0000,1,2025,2025
450,Peter Klibanoff,Northwestern (Kellogg),1,0.5000,1.0000,1,2021,2021
450,Sunkee Lee,Carnegie Mellon (Tepper),1,0.5000,1.0000,1,2026,2026
450,Tim Randolph,Columbia,1,0.5000,1.0000,1,2022,2022
457,Angela Kohlenberg,Northwestern (Kellogg),1,0.5000,0.5000,1,2025,2025
457,Bauke Visser,SMU (Cox),1,0.5000,0.5000,1,2025,2025
457,Evan Polman,Wisconsin-Madison,1,0.5000,0.5000,1,2025,2025
457,Mauricio Palmeira,Florida (Warrington),1,0.5000,0.5000,1,2025,2025
457,René A. Caldentey,Chicago (Booth),1,0.5000,0.5000,1,2022,2022
457,Uri Gneezy,UC San Diego (Rady),1,0.5000,0.5000,1,2025,2025
463,Antoine Désir,MIT,1,0.5000,0.0000,1,2025,2025
463,Brian Tomlin,Dartmouth (Tuck),1,0.5000,0.0000,1,2026,2026
463,David Dunning,Michigan (Ross),1,0.5000,0.0000,1,2026,2026
463,Ebru Kaşıkaralar,Chicago (Booth),1,0.5000,0.0000,1,2025,2025
463,Eren Ozbay,UIUC (Gies),1,0.5000,0.0000,1,2024,2024
463,Evan Yao,MIT,1,0.5000,0.0000,1,2025,2025
463,Hongyu Chen,MIT,1,0.5000,0.0000,1,2025,2025
463,Jamie Tucker-Foltz,Harvard,1,0.5000,0.0000,1,2025,2025
463,Karen Donohue,Arizona State (Carey),1,0.5000,0.0000,1,2026,2026
463,Kinshuk Jerath,Columbia,1,0.5000,0.0000,1,2024,2024
463,Kumar Rajaram,UCLA (Anderson),1,0.5000,0.0000,1,2026,2026
463,Richard Zeckhauser,Harvard,1,0.5000,0.0000,1,2025,2025
463,Russell J. Funk,Minnesota (Carlson),1,0.5000,0.0000,1,2025,2025
463,Setareh Farajollahzadeh,McGill (Desautels),1,0.5000,0.0000,1,2025,2025
463,Shanshan Luo,UBC (Sauder),1,0.5000,0.0000,1,2025,2025
463,Sofia Bapna,Minnesota (Carlson),1,0.5000,0.0000,1,2025,2025
463,Stav Atir,Wisconsin-Madison,1,0.5000,0.0000,1,2026,2026
463,Swanand Kulkarni,Georgia Tech (Scheller),1,0.5000,0.0000,1,2026,2026
463,Xu Sun,Florida (Warrington),1,0.5000,0.0000,1,2025,2025
463,Yeonjoo Lee,Penn State (Smeal),1,0.5000,0.0000,1,2026,2026
483,Christian Kroer,Columbia,2,0.4762,7.2857,2,2022,2023
484,Xiaoyang Long,Wisconsin-Madison,2,0.4583,18.2083,2,2020,2023
485,Masoud Kamalahmadi,Florida (Warrington),2,0.4583,15.9167,2,2021,2023
486,Anita L. Tucker,Boston U (Questrom),2,0.4500,75.4500,2,2018,2020
487,Maxime C. Cohen,NYU (Stern),2,0.4500,23.4000,2,2019,2019
488,Ravi Bapna,Minnesota (Carlson),2,0.4500,14.7500,2,2022,2023
489,Michelle Xiao Wu,MIT,2,0.4500,2.2500,2,2024,2025
490,Guido Imbens,Stanford,2,0.4500,1.7000,2,2022,2024
491,Zhaoran Wang,Northwestern (Kellogg),2,0.4500,0.4500,2,2026,2026
492,Heng Zhang,Arizona State (Carey),2,0.3929,8.8571,2,2023,2025
493,Susan Athey,Stanford,2,0.3929,1.5000,2,2024,2025
494,Deeksha Sinha,MIT,2,0.3750,11.0000,2,2020,2025
495,Randall Berry,Northwestern (Kellogg),2,0.3667,5.3667,2,2020,2022
496,Gabriel Y. Weintraub,Stanford,2,0.3611,3.0000,2,2022,2022
497,Maxime C. Cohen,MIT,1,0.3333,175.3333,1,2016,2016
497,Ruben Lobel,Wharton (UPenn),1,0.3333,175.3333,1,2016,2016
499,Jeffrey Pfeffer,Stanford,1,0.3333,130.3333,1,2016,2016
499,Stefanos A. Zenios,Stanford,1,0.3333,130.3333,1,2016,2016
501,Gustaf Bellstam,UW (Foster),1,0.3333,97.0000,1,2021,2021
501,J. Anthony Cookson,Colorado (Leeds),1,0.3333,97.0000,1,2021,2021
501,Sanjai Bhagat,Colorado (Leeds),1,0.3333,97.0000,1,2021,2021
504,Ruixue Guo,Stanford,1,0.3333,95.3333,1,2016,2016
505,Noureddine El Karoui,UC Berkeley (Haas),1,0.3333,88.6667,1,2018,2018
506,Foad Iravani,UW (Foster),1,0.3333,82.6667,1,2019,2019
506,Saed Alizamir,Yale,1,0.3333,82.6667,1,2019,2019
508,Lorin M. Hitt,Wharton (UPenn),1,0.3333,80.3333,1,2018,2018
509,Antonio Moreno,Northwestern (Kellogg),1,0.3333,76.0000,1,2017,2017
509,Ioannis Stamatopoulos,Northwestern (Kellogg),1,0.3333,76.0000,1,2017,2017
511,Sheng Liu,Toronto (Rotman),1,0.3333,75.3333,1,2021,2021
512,Laurens Debo,Chicago (Booth),1,0.3333,71.0000,1,2016,2016
513,Marshall Fisher,Wharton (UPenn),1,0.3333,62.6667,1,2018,2018
514,Lamar Pierce,WashU (Olin),1,0.3333,61.6667,1,2018,2018
515,Elena Belavina,Chicago (Booth),1,0.3333,61.3333,1,2017,2017
516,Jingxing (Rowena) Gan,SMU (Cox),1,0.3333,60.3333,1,2021,2021
517,Nicholas C. Petruzzi,Penn State (Smeal),1,0.3333,55.6667,1,2017,2017
518,Yinghao Zhang,Maryland (Smith),1,0.3333,54.0000,1,2016,2016
519,Ximin (Natalie) Huang,Minnesota (Carlson),1,0.3333,44.0000,1,2019,2019
520,Andrew E. Frazelle,UT Dallas,1,0.3333,43.6667,1,2023,2023
521,Joseph Milner,Toronto (Rotman),1,0.3333,42.3333,1,2016,2016
522,Anindya Ghose,NYU (Stern),1,0.3333,41.3333,1,2021,2021
522,Rachna Shah,Minnesota (Carlson),1,0.3333,41.3333,1,2017,2017
522,Yuqian Xu,UIUC (Gies),1,0.3333,41.3333,1,2021,2021
525,Ali Kakhbod,MIT,1,0.3333,38.6667,1,2018,2018
526,Jose A. Guajardo,UC Berkeley (Haas),1,0.3333,37.0000,1,2016,2016
527,Somya Singhvi,MIT,1,0.3333,36.0000,1,2020,2020
528,Cong Shi,Penn State (Smeal),1,0.3333,35.0000,1,2020,2020
529,Derya Demirtas,Toronto (Rotman),1,0.3333,32.0000,1,2016,2016
529,Roy H. Kwon,Toronto (Rotman),1,0.3333,32.0000,1,2016,2016
529,Sajad Modaresi,UNC (Kenan-Flagler),1,0.3333,32.0000,1,2018,2018
532,Ann Melissa Campbell,Iowa (Tippie),1,0.3333,30.6667,1,2022,2022
532,Barrett W. Thomas,Iowa (Tippie),1,0.3333,30.6667,1,2022,2022
532,Sara Reed,Iowa (Tippie),1,0.3333,30.6667,1,2022,2022
532,Upender Subramanian,UT Dallas,1,0.3333,30.6667,1,2018,2018
532,Vivek Farias,MIT,1,0.3333,30.6667,1,2021,2021
537,Mila Nambiar,MIT,1,0.3333,30.3333,1,2019,2019
537,Ruth Beer,Indiana (Kelley),1,0.3333,30.3333,1,2018,2018
539,Qi (George) Chen,Michigan (Ross),1,0.3333,30.0000,1,2016,2016
540,Yuexing Li,Duke (Fuqua),1,0.3333,29.6667,1,2022,2022
541,Haim Mendelson,Stanford,1,0.3333,28.6667,1,2018,2018
542,Anton Skaro,Northwestern (Kellogg),1,0.3333,27.3333,1,2017,2017
542,Uday S. Karmarkar,UCLA (Anderson),1,0.3333,27.3333,1,2016,2016
544,Alireza Tahbaz-Salehi,Northwestern (Kellogg),1,0.3333,27.0000,1,2019,2019
545,Fangruo Chen,Columbia,1,0.3333,26.3333,1,2016,2016
545,Wenqiang Xiao,NYU (Stern),1,0.3333,26.3333,1,2016,2016
547,Süleyman Demirel,Michigan (Ross),1,0.3333,26.0000,1,2018,2018
548,Michael K. Lim,UIUC (Gies),1,0.3333,24.6667,1,2017,2017
549,Nan Yang,Florida (Warrington),1,0.3333,24.0000,1,2021,2021
549,Peter S. Fader,Wharton (UPenn),1,0.3333,24.0000,1,2018,2018
549,Senthil Veeraraghavan,Wharton (UPenn),1,0.3333,24.0000,1,2018,2018
552,Nikolaos Trichakis,Harvard,1,0.3333,22.6667,1,2017,2017
552,Özlem Yıldız,Virginia (Darden),1,0.3333,22.6667,1,2019,2019
554,Hans B. Christensen,Chicago (Booth),1,0.3333,22.3333,1,2020,2020
554,Mark Maffett,Chicago (Booth),1,0.3333,22.3333,1,2020,2020
556,Douglas R. Bish,Virginia Tech (Pamplin),1,0.3333,21.6667,1,2019,2019
556,Ebru K. Bish,Virginia Tech (Pamplin),1,0.3333,21.6667,1,2019,2019
556,Hrayer Aprahamian,Texas A&M (Mays),1,0.3333,21.6667,1,2019,2019
556,Maqbool Dada,Johns Hopkins (Carey),1,0.3333,21.6667,1,2019,2019
556,Ruxian Wang,Johns Hopkins (Carey),1,0.3333,21.6667,1,2019,2019
561,Felipe Caro,UCLA (Anderson),1,0.3333,21.3333,1,2021,2021
562,Luyi Yang,Chicago (Booth),1,0.3333,20.0000,1,2017,2017
563,Neda Mirzaeian,Carnegie Mellon (Tepper),1,0.3333,19.6667,1,2021,2021
564,Chen Chen,Chicago (Booth),1,0.3333,19.0000,1,2021,2021
564,Nilay Tanık Argon,UNC (Kenan-Flagler),1,0.3333,19.0000,1,2018,2018
566,Ebrahim Barzegary,UW (Foster),1,0.3333,18.6667,1,2023,2023
566,Hema Yoganarasimhan,UW (Foster),1,0.3333,18.6667,1,2023,2023
566,Kevin W. Linderman,Minnesota (Carlson),1,0.3333,18.6667,1,2018,2018
566,Suvrat S. Dhanorkar,Penn State (Smeal),1,0.3333,18.6667,1,2018,2018
570,John Yao,Columbia,1,0.3333,18.3333,1,2018,2018
571,Mehmet Sekip Altug,Virginia (Darden),1,0.3333,18.0000,1,2021,2021
572,Martin A. Lariviere,Northwestern (Kellogg),1,0.3333,17.6667,1,2019,2019
573,Tingliang Huang,Boston College (Carroll),1,0.3333,17.3333,1,2018,2018
574,Amitabh Sinha,UW (Foster),1,0.3333,17.0000,1,2021,2021
574,Konstantinos I. Stouras,SMU (Cox),1,0.3333,17.0000,1,2022,2022
574,Raul O. Chao,Virginia (Darden),1,0.3333,17.0000,1,2022,2022
577,Baek Jung Kim,UBC (Sauder),1,0.3333,16.6667,1,2022,2022
577,Muhammad Zia Hydari,Wharton (UPenn),1,0.3333,16.6667,1,2018,2018
577,Rahul Telang,Carnegie Mellon (Tepper),1,0.3333,16.6667,1,2018,2018
577,William M. Marella,Wharton (UPenn),1,0.3333,16.6667,1,2018,2018
581,Antonio Moreno,Harvard,1,0.3333,16.0000,1,2021,2021
581,Heng Zhang,USC (Marshall),1,0.3333,16.0000,1,2020,2020
581,Jinglong Zhao,MIT,1,0.3333,16.0000,1,2021,2021
584,Chenghuai Li,Duke (Fuqua),1,0.3333,15.6667,1,2025,2025
584,Elliot Bendoly,Ohio State (Fisher),1,0.3333,15.6667,1,2020,2020
586,Emily W. Choi,UT Dallas,1,0.3333,14.6667,1,2020,2020
