rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted,or_std_papers,or_personal_papers,or_std_citations,or_personal_citation_weighted,msom_std_papers,msom_personal_papers,msom_std_citations,msom_personal_citation_weighted
UIUC (Gies),2022,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,2.0000,2.0000,37.0000,37.0000
UIUC (Gies),2023,2.0000,2.0000,7.0000,7.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,9.0000,9.0000
UIUC (Gies),2024,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000
UIUC (Gies),2025,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,4.0000,6.0000,9.0000
UIUC (Gies),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
McGill (Desautels),2016,1.0000,2.0000,48.0000,96.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
McGill (Desautels),2017,1.0000,1.0000,52.0000,52.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
McGill (Desautels),2018,2.0000,2.0000,144.0000,144.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,266.0000,266.0000
McGill (Desautels),2019,2.0000,2.0000,161.0000,161.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
McGill (Desautels),2020,2.0000,2.0000,175.0000,175.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,66.0000,66.0000
McGill (Desautels),2021,3.0000,3.0000,84.0000,84.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,30.0000,30.0000
McGill (Desautels),2022,3.0000,3.0000,187.0000,187.0000,2.0000,2.0000,0.0000,0.0000,3.0000,4.0000,118.0000,147.0000
McGill (Desautels),2023,2.0000,3.0000,8.0000,13.0000,3.0000,3.0000,0.0000,0.0000,6.0000,6.0000,145.0000,145.0000
McGill (Desautels),2024,1.0000,1.0000,6.0000,6.0000,0.0000,0.0000,0.0000,0.0000,3.0000,7.0000,35.0000,99.0000
McGill (Desautels),2025,2.0000,2.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,2.0000,2.0000,7.0000,7.0000
McGill (Desautels),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,1.0000,1.0000
Penn State (Smeal),2016,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,51.0000,51.0000
Penn State (Smeal),2017,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,74.0000,74.0000
Penn State (Smeal),2018,1.0000,1.0000,56.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Penn State (Smeal),2019,1.0000,1.0000,103.0000,103.0000,0.0000,0.0000,0.0000,0.0000,4.0000,5.0000,141.0000,161.0000
Penn State (Smeal),2020,2.0000,2.0000,100.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Penn State (Smeal),2021,1.0000,1.0000,24.0000,24.0000,0.0000,0.0000,0.0000,0.0000,3.0000,4.0000,68.0000,84.0000
Penn State (Smeal),2022,2.0000,3.0000,30.0000,50.0000,2.0000,2.0000,0.0000,0.0000,4.0000,4.0000,121.0000,121.0000
Penn State (Smeal),2023,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,23.0000,23.0000
Penn State (Smeal),2024,1.0000,1.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Penn State (Smeal),2025,2.0000,2.0000,11.0000,11.0000,0.0000,0.0000,0.0000,0.0000,6.0000,7.0000,12.0000,15.0000
Penn State (Smeal),2026,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2016,1.0000,1.0000,166.0000,166.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2017,1.0000,1.0000,85.0000,85.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2018,1.0000,1.0000,54.0000,54.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,36.0000,36.0000
UC San Diego (Rady),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,40.0000,80.0000
UC San Diego (Rady),2020,2.0000,3.0000,111.0000,155.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2021,1.0000,2.0000,54.0000,108.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2022,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2023,2.0000,2.0000,46.0000,46.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,4.0000,4.0000
UC San Diego (Rady),2024,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2025,1.0000,2.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2020,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2021,1.0000,1.0000,56.0000,56.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2022,2.0000,2.0000,112.0000,112.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,6.0000,6.0000
Florida (Warrington),2023,2.0000,2.0000,71.0000,71.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2025,1.0000,1.0000,2.0000,2.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Texas A&M (Mays),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,36.0000,36.0000
Texas A&M (Mays),2017,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2020,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2021,1.0000,1.0000,27.0000,27.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,73.0000,73.0000
Texas A&M (Mays),2022,1.0000,1.0000,42.0000,42.0000,1.0000,1.0000,0.0000,0.0000,1.0000,2.0000,11.0000,22.0000
Texas A&M (Mays),2023,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2024,1.0000,1.0000,11.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2025,1.0000,1.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2020,1.0000,1.0000,22.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,13.0000,13.0000
Iowa (Tippie),2025,1.0000,1.0000,4.0000,4.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2016,1.0000,2.0000,147.0000,294.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,9.0000,9.0000
Ohio State (Fisher),2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000
Ohio State (Fisher),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2019,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2020,2.0000,3.0000,99.0000,151.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Ohio State (Fisher),2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,53.0000,53.0000
Ohio State (Fisher),2023,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,14.0000,14.0000
Ohio State (Fisher),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0000
Ohio State (Fisher),2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,1.0000,1.0000
Ohio State (Fisher),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,41.0000,41.0000
Notre Dame (Mendoza),2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,55.0000,55.0000
Notre Dame (Mendoza),2023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,6.0000,45.0000,78.0000
Notre Dame (Mendoza),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,4.0000,4.0000
Notre Dame (Mendoza),2025,1.0000,1.0000,2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Notre Dame (Mendoza),2026,1.0000,2.0000,5.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2016,1.0000,1.0000,93.0000,93.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,18.0000,36.0000
UBC (Sauder),2017,1.0000,1.0000,52.0000,52.0000,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2018,2.0000,2.0000,165.0000,165.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,17.0000,17.0000
UBC (Sauder),2019,0.0000,0.0000,0.0000,0.0000,3.0000,4.0000,0.0000,0.0000,2.0000,4.0000,96.0000,192.0000
UBC (Sauder),2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,4.0000,17.0000,35.0000
UBC (Sauder),2021,5.0000,9.0000,266.0000,630.0000,6.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2022,3.0000,3.0000,68.0000,68.0000,7.0000,11.0000,0.0000,0.0000,1.0000,2.0000,26.0000,52.0000
UBC (Sauder),2023,3.0000,3.0000,40.0000,40.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UBC (Sauder),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,10.0000,10.0000
UBC (Sauder),2025,4.0000,5.0000,3.0000,3.0000,2.0000,2.0000,0.0000,0.0000,3.0000,3.0000,0.0000,0.0000
UBC (Sauder),2026,1.0000,2.0000,0.0000,0.0000,2.0000,4.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Virginia (Darden),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia (Darden),2017,1.0000,1.0000,42.0000,42.0000,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia (Darden),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,212.0000,212.0000
Virginia (Darden),2019,4.0000,4.0000,143.0000,143.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,97.0000,97.0000
Virginia (Darden),2020,1.0000,1.0000,16.0000,16.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia (Darden),2021,1.0000,1.0000,26.0000,26.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,41.0000,41.0000
Virginia (Darden),2022,3.0000,4.0000,86.0000,96.0000,2.0000,3.0000,0.0000,0.0000,1.0000,1.0000,49.0000,49.0000
Virginia (Darden),2023,1.0000,1.0000,34.0000,34.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,15.0000,15.0000
Virginia (Darden),2024,1.0000,1.0000,6.0000,6.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia (Darden),2025,0.0000,0.0000,0.0000,0.0000,2.0000,3.0000,0.0000,0.0000,1.0000,1.0000,4.0000,4.0000
Virginia (Darden),2026,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,35.0000,35.0000
Northeastern,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Northeastern,2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2017,2.0000,2.0000,434.0000,434.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,31.0000,31.0000
Boston College (Carroll),2018,1.0000,1.0000,52.0000,52.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2019,3.0000,3.0000,135.0000,135.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2020,3.0000,3.0000,765.0000,765.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,95.0000,95.0000
Boston College (Carroll),2021,1.0000,1.0000,14.0000,14.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,79.0000,79.0000
Boston College (Carroll),2022,1.0000,1.0000,34.0000,34.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,14.0000,14.0000
Boston College (Carroll),2023,1.0000,1.0000,28.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Boston College (Carroll),2024,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000,0.0000,2.0000,2.0000,6.0000,6.0000
Boston College (Carroll),2025,1.0000,1.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Boston College (Carroll),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2022,1.0000,1.0000,41.0000,41.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2023,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,14.0000,14.0000
Virginia Tech (Pamplin),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Virginia Tech (Pamplin),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000
SMU (Cox),2016,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2017,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2018,1.0000,3.0000,10.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2019,2.0000,4.0000,146.0000,222.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,25.0000,25.0000
SMU (Cox),2020,1.0000,1.0000,108.0000,108.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,30.0000,30.0000
SMU (Cox),2021,2.0000,2.0000,206.0000,206.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,39.0000,39.0000
SMU (Cox),2022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,7.0000,7.0000
SMU (Cox),2023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2024,1.0000,1.0000,32.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SMU (Cox),2025,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,4.0000,4.0000
SMU (Cox),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Dartmouth (Tuck),2016,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dartmouth (Tuck),2017,4.0000,4.0000,405.0000,405.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,31.0000,31.0000
Dartmouth (Tuck),2018,1.0000,1.0000,188.0000,188.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,152.0000,152.0000
Dartmouth (Tuck),2019,4.0000,4.0000,298.0000,298.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dartmouth (Tuck),2020,1.0000,1.0000,70.0000,70.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,605.0000,605.0000
Dartmouth (Tuck),2021,1.0000,1.0000,21.0000,21.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,27.0000,27.0000
Dartmouth (Tuck),2022,3.0000,3.0000,87.0000,87.0000,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000,87.0000,87.0000
Dartmouth (Tuck),2023,1.0000,2.0000,11.0000,22.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,36.0000,36.0000
Dartmouth (Tuck),2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,8.0000,8.0000
Dartmouth (Tuck),2025,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Dartmouth (Tuck),2026,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Michigan State (Broad),2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2022,1.0000,1.0000,6.0000,6.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,43.0000,43.0000
Michigan State (Broad),2023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2024,1.0000,1.0000,32.0000,32.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,5.0000,5.0000
Michigan State (Broad),2025,1.0000,1.0000,9.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan State (Broad),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
